Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"A03",Absolute Quantification,"ABS1","kuang",Ch1Unknown,"line1","Manual",16.2,QX200 ddPCR EvaGreen Supermix,324,,,18.3,14.1,225,16258,,,,,,16483,,,,,,,,,,,,,,,,,,1,1,3000,7494,1504.8,1586.5,"Absolute Quantitation Experiment",,,,17.2,15.1,,,,,,,,,,,,,
"B03",Absolute Quantification,"ABS1","kuang",Ch1Unknown,"line1","Manual",18.9,QX200 ddPCR EvaGreen Supermix,378,,,21,16.8,301,18579,,,,,,18880,,,,,,,,,,,,,,,,,,1,1,3000,8025.5,1499.8,1603.9,"Absolute Quantitation Experiment",,,,20,17.8,,,,,,,,,,,,,
"C03",Absolute Quantification,"ABS1","kuang",Ch1Unknown,"line1","Manual",25.7,QX200 ddPCR EvaGreen Supermix,514,,,28.3,23.2,392,17723,,,,,,18115,,,,,,,,,,,,,,,,,,1,1,3000,8272.2,1492.9,1639.6,"Absolute Quantitation Experiment",,,,27,24.4,,,,,,,,,,,,,
"D03",Absolute Quantification,"ABS1","kuang",Ch1Unknown,"line1","Manual",32.6,QX200 ddPCR EvaGreen Supermix,652,,,35.5,29.8,506,17982,,,,,,18488,,,,,,,,,,,,,,,,,,1,1,3000,8559.5,1482.4,1676.1,"Absolute Quantitation Experiment",,,,34.1,31.2,,,,,,,,,,,,,
"E03",Absolute Quantification,"ABS1","kuang",Ch1Unknown,"line1","Manual",40.2,QX200 ddPCR EvaGreen Supermix,804,,,43.2,37.2,681,19581,,,,,,20262,,,,,,,,,,,,,,,,,,1,1,3000,8451.4,1465.2,1700,"Absolute Quantitation Experiment",,,,41.8,38.7,,,,,,,,,,,,,
"F03",Absolute Quantification,"ABS1","kuang",Ch1Unknown,"line1","Manual",49.5,QX200 ddPCR EvaGreen Supermix,990,,,52.8,46.1,835,19447,,,,,,20282,,,,,,,,,,,,,,,,,,1,1,3000,8444,1466.9,1754.1,"Absolute Quantitation Experiment",,,,51.2,47.7,,,,,,,,,,,,,
"G03",Absolute Quantification,"ABS1","kuang",Ch1Unknown,"line1","Manual",51.3,QX200 ddPCR EvaGreen Supermix,1026,,,54.8,47.8,836,18755,,,,,,19591,,,,,,,,,,,,,,,,,,1,1,3000,8392.1,1460.8,1756.6,"Absolute Quantitation Experiment",,,,53.1,49.5,,,,,,,,,,,,,
"H03",Absolute Quantification,"ABS1","kuang",Ch1Unknown,"line1","Manual",64.2,QX200 ddPCR EvaGreen Supermix,1284,,,68.2,60.2,1002,17867,,,,,,18869,,,,,,,,,,,,,,,,,,1,1,3000,8528.1,1463.8,1839,"Absolute Quantitation Experiment",,,,66.2,62.2,,,,,,,,,,,,,
"A04",Absolute Quantification,"ABS1","kuang",Ch1Unknown,"line1","Manual",0.55,QX200 ddPCR EvaGreen Supermix,11,,,1.06,0.23,7,15070,,,,,,15077,,,,,,,,,,,,,,,,,,1,1,3000,8276.9,1499.7,1502.8,"Absolute Quantitation Experiment",,,,0.78,0.36,,,,,,,,,,,,,
"B04",Absolute Quantification,"ABS1","kuang",Ch1Unknown,"line1","Manual",0.35,QX200 ddPCR EvaGreen Supermix,7,,,0.77,0.12,5,16679,,,,,,16684,,,,,,,,,,,,,,,,,,1,1,3000,6978.2,1492.1,1493.7,"Absolute Quantitation Experiment",,,,0.54,0.22,,,,,,,,,,,,,
"C04",Absolute Quantification,"ABS1","kuang",Ch1Unknown,"line1","Manual",0.21,QX200 ddPCR EvaGreen Supermix,4.2,,,0.55,0.05,3,17025,,,,,,17028,,,,,,,,,,,,,,,,,,1,1,3000,7062.1,1486,1487,"Absolute Quantitation Experiment",,,,0.35,0.11,,,,,,,,,,,,,
"D04",Absolute Quantification,"ABS1","kuang",Ch1Unknown,"line1","Manual",0.33,QX200 ddPCR EvaGreen Supermix,6.6,,,0.73,0.12,5,17626,,,,,,17631,,,,,,,,,,,,,,,,,,1,1,3000,8119.9,1476,1477.9,"Absolute Quantitation Experiment",,,,0.51,0.2,,,,,,,,,,,,,
"E04",Absolute Quantification,"ABS1","kuang",Ch1Unknown,"line1","Manual",0.37,QX200 ddPCR EvaGreen Supermix,7.4,,,0.75,0.14,6,19309,,,,,,19315,,,,,,,,,,,,,,,,,,1,1,3000,7135.5,1459.3,1461,"Absolute Quantitation Experiment",,,,0.54,0.23,,,,,,,,,,,,,
"F04",Absolute Quantification,"ABS1","kuang",Ch1Unknown,"line1","Manual",1.1,QX200 ddPCR EvaGreen Supermix,22,,,1.7,0.7,19,19992,,,,,,20011,,,,,,,,,,,,,,,,,,1,1,3000,7855.3,1452.6,1458.7,"Absolute Quantitation Experiment",,,,1.39,0.88,,,,,,,,,,,,,
"G04",Absolute Quantification,"ABS1","kuang",Ch1Unknown,"line1","Manual",0.63,QX200 ddPCR EvaGreen Supermix,12.6,,,1.11,0.31,10,18648,,,,,,18658,,,,,,,,,,,,,,,,,,1,1,3000,8627.4,1451,1454.9,"Absolute Quantitation Experiment",,,,0.85,0.45,,,,,,,,,,,,,
"H04",Absolute Quantification,"ABS1","kuang",Ch1Unknown,"line1","Manual",1.5,QX200 ddPCR EvaGreen Supermix,30,,,2.2,1,23,17909,,,,,,17932,,,,,,,,,,,,,,,,,,1,1,3000,8740.4,1461.5,1470.8,"Absolute Quantitation Experiment",,,,1.85,1.22,,,,,,,,,,,,,
